		bait:prey	cnv	exp	np_p_w	t-statistic
742850	null	WNT2B:NAT10	WNT2B	NAT10	0.5545398924200867	0.5944855285559548
1168868	null	LOC100505817:PDZD8	LOC100505817	PDZD8	0.3046976258012952	1.0357401240986166
292297	null	DSG1:CRNDE	DSG1	CRNDE	0.8219466324980764	-0.2260816859338441
1253196	null	SPACA7:FRS2	SPACA7	FRS2	0.25648459498944304	1.1462413547433878
790495	null	PRODH:ZNF385C	PRODH	ZNF385C	0.5268778554057107	0.6386555571924571
514908	null	DLG2:MARS2	DLG2	MARS2	0.6873668946027907	-0.4089973530184677
1132311	null	OACYLP:CDK5RAP1	OACYLP	CDK5RAP1	0.3257295069948638	-0.9912983714333724
198195	null	C8orf48:TLR5	C8orf48	TLR5	0.8796021594044143	0.15215477484183504
1405052	null	MIR1233-2:APBA2	MIR1233-2	APBA2	0.16972408978275474	1.3910123680285489
222620	null	PCDHA7:IGHM	PCDHA7	IGHM	0.8639707511178978	0.17209712501809166
996980	null	C11orf40:CDH15	C11orf40	CDH15	0.4048673168682079	-0.83919221363665
395201	null	SNORD115-10:TDRKH	SNORD115-10	TDRKH	0.7597645269368896	0.30726100962362946
1180091	null	LINC00331:ZHX3	LINC00331	ZHX3	0.29838627827209163	-1.0494809531351577
1136565	null	AGXT:APOBEC4	AGXT	APOBEC4	0.3231098125115104	0.9975652365798232
1088503	null	NBPF16:PIM3	NBPF16	PIM3	0.35120081909564216	0.9402497296747928
1181915	null	COL13A1:HUS1	COL13A1	HUS1	0.2972177530572689	1.0520467927133736
1514882	null	ZNF532:SLC7A6OS	ZNF532	SLC7A6OS	0.10555865478855612	-1.6445917900738036
582654	null	BCL11B:OGN	BCL11B	OGN	0.647240775288014	-0.4600355462331046
413318	null	PARD3B:NADKD1	PARD3B	NADKD1	0.748258621073499	-0.3225216314399169
1135119	null	SEPT2:VAV1	SEPT2	VAV1	0.32382808495281346	-0.9952354085837868
1053196	null	CNTNAP3B:PLCG2	CNTNAP3B	PLCG2	0.3718573876685039	0.9002216521750976
1294058	null	ABR:POP1	ABR	POP1	0.23317452406353456	1.2088556483115824
481368	null	RPS6:HOXA2	RPS6	HOXA2	0.7079376834474428	-0.3765073356896593
1177820	null	ANKRD36B:KCNJ5	ANKRD36B	KCNJ5	0.2993316791172592	1.0474100849281505
311286	null	OR4S2:PUSL1	OR4S2	PUSL1	0.8101902972435735	-0.2412977205708729
1120511	null	IFNA4:SDC2	IFNA4	SDC2	0.33252584501494176	0.9789239800818924
1157194	null	IQCA1:FAM48A	IQCA1	FAM48A	0.31080540507778426	1.0233187481449106
991037	null	DIS3:SCAP	DIS3	SCAP	0.4084716143720703	-0.832731828536745
1160719	null	LRCH2:FAM171B	LRCH2	FAM171B	0.3088348856361012	-1.0268376255724043
1026260	null	PPAPDC2:ABCB5	PPAPDC2	ABCB5	0.3870916894373503	-0.8715841538938863
580212	null	CDH17:STRN	CDH17	STRN	0.6487559477773952	-0.4579128533824567
778705	null	OR52I2:KCNAB2	OR52I2	KCNAB2	0.5343143926584082	-0.625231442986379
1065756	null	PRSS3P2:GCNT3	PRSS3P2	GCNT3	0.3650855234729108	-0.9130051611455556
1038438	null	DUSP4:DOT1L	DUSP4	DOT1L	0.38056241467170415	-0.8840986971171042
872093	null	TXNL1:TMEM52	TXNL1	TMEM52	0.4796778326527669	0.7114974327425433
937636	null	PSTPIP2:LOC100507291	PSTPIP2	LOC100507291	0.4409731729543632	0.7787096366305233
1379805	null	C4orf6:CXorf23	C4orf6	CXorf23	0.18387321963219105	-1.3452469511758869
472171	null	LOC653486:IGFALS	LOC653486	IGFALS	0.7136656334640378	0.3687696793825265
1619174	null	PIGA:SMPX	PIGA	SMPX	0.04724714599865768	2.0635785424944726
1605074	null	PLN:FYN	PLN	FYN	0.05404322124033194	-1.9671221049752807
650035	null	ZNF626:BZRAP1	ZNF626	BZRAP1	0.6078291563127145	0.5160817456448822
1428021	null	SORL1:SPIB	SORL1	SPIB	0.1555099707812991	-1.4393881816842466
103078	null	DLG2:LOC100505685	DLG2	LOC100505685	0.9359810709032264	0.08067745876036594
1318079	null	IFNW1:SCAP	IFNW1	SCAP	0.21947734163935426	-1.2415776921612414
1084326	null	MYO6:LRP8	MYO6	LRP8	0.35407170981821023	-0.9343365777321332
1093513	null	OR51F2:CD177	OR51F2	CD177	0.3487006771980564	0.9448951491707159
765014	null	C10orf11:EXOC5	C10orf11	EXOC5	0.5424693202911378	0.6149289699519945
1283073	null	BCL2:DR1	BCL2	DR1	0.239824733827502	1.1878345946746285
369577	null	LOC100133091:FOXC1	LOC100133091	FOXC1	0.7750328343003018	0.2871578165220859
115307	null	TTC7B:PLA2G2A	TTC7B	PLA2G2A	0.9289130735955248	0.0914860713089804
1055447	null	CHRNA2:ZNF33B	CHRNA2	ZNF33B	0.3705597459018839	-0.9040877805313756
737210	null	SOGA2:ELL3	SOGA2	ELL3	0.5573520076666221	-0.5909116526453014
1132016	null	RAB17:FOXC1	RAB17	FOXC1	0.32593690907072315	-0.9908698591348298
450206	null	ZNF292:XGPY2	ZNF292	XGPY2	0.7271087549031645	-0.3506966435186977
1531410	null	MIR4673:PRMT6	MIR4673	PRMT6	0.09567292419477336	1.6953027747563345
1184531	null	C8orf74:ABCC3	C8orf74	ABCC3	0.2957819553511803	1.055209004826297
1202881	null	GABRB1:NADKD1	GABRB1	NADKD1	0.2856386509046777	1.07803807080808
710713	null	TMEM132D:GCH1	TMEM132D	GCH1	0.5723845836912556	-0.5678238184108181
1511268	null	SYT6:UTP14A	SYT6	UTP14A	0.10770952454916764	1.640562625897004
397910	null	XK:PPARGC1A	XK	PPARGC1A	0.7580784573853716	0.3116973695941745
1076407	null	FAM167A:TSSC1	FAM167A	TSSC1	0.3585879760234568	0.9287532379210928
1679018	null	PRKCE:ZNHIT3	PRKCE	ZNHIT3	0.014967995955666268	-2.5091804519803285
260848	null	GPRC5A:C15orf24	GPRC5A	C15orf24	0.8406796146284643	-0.2021644593193822
1559706	null	VAMP3:LRP8	VAMP3	LRP8	0.07978689890700602	1.7837561619716265
604947	null	INO80C:ELTD1	INO80C	ELTD1	0.6339698948353469	0.4787189315137417
210780	null	KRTAP9-3:RCBTB2	KRTAP9-3	RCBTB2	0.8714574977888379	0.1625374397108289
76445	null	CD99P1:RSPH4A	CD99P1	RSPH4A	0.953008862613428	0.05922514376069396
1381822	null	FAT1:C10orf90	FAT1	C10orf90	0.1828700682062836	-1.361486014012218
1325949	null	MTG1:RBM22	MTG1	RBM22	0.21513707391118572	1.2576928572890502
1517022	null	FAM212B:CARM1	FAM212B	CARM1	0.10419896116093384	1.6562305765269731
323742	null	CDKN2B-AS1:UBAC2	CDKN2B-AS1	UBAC2	0.8022889699707758	-0.25155606398563274
98135	null	FSBP:ATP5C1	FSBP	ATP5C1	0.9389787131515388	0.07689202094275258
551343	null	FAM90A10P:TMEM9B	FAM90A10P	TMEM9B	0.6658849994463938	-0.43409832177710905
1322611	null	LACTB2:SERPINE1	LACTB2	SERPINE1	0.2169228802628339	-1.2508670731554918
544342	null	FNTA:RNF144B	FNTA	RNF144B	0.6700216698812789	-0.4283347879948263
693633	null	MIR873:PRKAG2	MIR873	PRKAG2	0.5819132163478709	-0.5557559306036636
1113672	null	ADAMTS20:CBX4	ADAMTS20	CBX4	0.3367042189724521	-0.9740741481492676
629137	null	ZNF182:GNAT3	ZNF182	GNAT3	0.6196438390871308	0.4992865549128577
533931	null	TTC7B:TMEM120B	TTC7B	TMEM120B	0.6763619714309986	-0.4195904097577871
1439684	null	TNFRSF10A:FAM40A	TNFRSF10A	FAM40A	0.14925902219950898	-1.482942383345806
1462374	null	PDK3:GSTA4	PDK3	GSTA4	0.13580764097689133	-1.5129893454357737
1682248	null	ZNF41:FLT4	ZNF41	FLT4	0.0135311742596446	2.5868497232140486
1023092	null	SHISA6:CSN1S2AP	SHISA6	CSN1S2AP	0.3888574354877036	-0.8684450175180991
926458	null	STMN4:PHF15	STMN4	PHF15	0.4474009416729635	0.7679322699351967
307130	null	MIR4722:SYCE3	MIR4722	SYCE3	0.8129827422382232	0.23776164021145074
623036	null	PSMD13:GNAL	PSMD13	GNAL	0.6231997164287713	-0.4940550692944682
906296	null	IRG1:WNT5B	IRG1	WNT5B	0.4584346984852894	0.7464979083330526
1542733	null	HYAL1:NMRAL1	HYAL1	NMRAL1	0.08888358085635535	-1.7308805975579231
420172	null	KIF21A:EXT1	KIF21A	EXT1	0.7436586558665831	0.3288657192924516
382637	null	MIR4686:TFAP2C	MIR4686	TFAP2C	0.7672589946781087	-0.2973780800278757
766286	null	LINC00242:RNF144B	LINC00242	RNF144B	0.5416226421462504	0.6140542462696925
114095	null	MDGA2:CEACAM1	MDGA2	CEACAM1	0.929486665690607	-0.08911219261947419
242792	null	LOC100506990:POPDC2	LOC100506990	POPDC2	0.8519597116627475	-0.18746766459069505
393859	null	GYG2:INSR	GYG2	INSR	0.7607197093475029	-0.3071493540463332
904351	null	FAM189A1:GOLT1A	FAM189A1	GOLT1A	0.4597269083797762	-0.7443427550125626
506441	null	OR51D1:BHMT	OR51D1	BHMT	0.6926842960344507	-0.3977091104101339
1470358	null	BRCA1:KDM4D	BRCA1	KDM4D	0.1313280770936978	-1.5622162370726598
1425156	null	MYH13:NEAT1	MYH13	NEAT1	0.15717175942567166	-1.4345847942737016
459115	null	PTPRT:RRAS2	PTPRT	RRAS2	0.7213771110016245	0.3595907423020749
67613	null	LOC100093698:ABCB5	LOC100093698	ABCB5	0.9583882491869616	-0.052406224048883385
1322083	null	SLC14A1:MRPL54	SLC14A1	MRPL54	0.21713750203715115	1.248765631251168
550751	null	PTK2B:SULT1B1	PTK2B	SULT1B1	0.66627572801553	-0.4335167043924958
754685	null	KRTAP5-2:CLN6	KRTAP5-2	CLN6	0.548426436329267	-0.6037178351315936
1127517	null	SCARNA17:KLHL31	SCARNA17	KLHL31	0.3286175363473776	-0.985347718819928
472768	null	DDX12P:ARNTL	DDX12P	ARNTL	0.7130446454353996	0.3696744968619241
65327	null	RBM12B-AS1:MYL6	RBM12B-AS1	MYL6	0.9595293558302848	0.050967819009347735
1348692	null	MACROD2-AS1:ENTPD4	MACROD2-AS1	ENTPD4	0.2021936279654877	1.29019202224035
1086488	null	NCOR2:MZT1	NCOR2	MZT1	0.35259359885368635	0.937231857982261
1418214	null	C8orf4:TCHP	C8orf4	TCHP	0.16160349013544592	1.431805640778988
1595145	null	ZNF705G:PRMT5	ZNF705G	PRMT5	0.05971365001397017	1.9211899227251985
346468	null	SLC7A2:XYLT2	SLC7A2	XYLT2	0.7890604360658114	0.2688143549878874
1597757	null	SLC34A2:RTKN2	SLC34A2	RTKN2	0.058199576654649386	1.9368985069183424
237298	null	CADM2:SPEG	CADM2	SPEG	0.8554576475612359	-0.18452784163555871
1121256	null	ZNF630:ZNF283	ZNF630	ZNF283	0.3320540163448804	0.9929175592913266
1464677	null	STC1:NT5C3	STC1	NT5C3	0.13448018288994462	-1.5268359564610354
762715	null	ANKRD12:OPLAH	ANKRD12	OPLAH	0.5436280857902493	0.6110007011820389
1544563	null	LINC00535:HSD17B1	LINC00535	HSD17B1	0.08787677493694954	-1.7365055572914452
7288	null	SCARNA2:PSME1	SCARNA2	PSME1	0.9954126903455858	-0.005788346909105394
80140	null	SNORD115-5:GOLT1A	SNORD115-5	GOLT1A	0.950381952002544	-0.06250171784147092
891953	null	FAM90A2P:TMTC3	FAM90A2P	TMTC3	0.4673231087666169	-0.7317434168834877
1131800	null	IL1RAPL1:ZRANB2	IL1RAPL1	ZRANB2	0.3259804011823888	0.9907800234025612
882409	null	PTPRT:CAPN12	PTPRT	CAPN12	0.4732444901712525	0.7220026748876969
354941	null	IFNB1:ADCYAP1	IFNB1	ADCYAP1	0.7840042600457826	-0.2754007766818916
1578027	null	ING2:HCG18	ING2	HCG18	0.06892159467313433	-1.8734510875778525
538098	null	DLG2:FAM63B	DLG2	FAM63B	0.673679322196914	0.423286239220395
1232258	null	LOC100128993:OR3A2	LOC100128993	OR3A2	0.26866667351896595	-1.1185754705586972
945955	null	TNFSF13B:C1orf180	TNFSF13B	C1orf180	0.4357066071807637	-0.7849959230705675
580870	null	DMRT2:CXorf23	DMRT2	CXorf23	0.6483557035759322	0.4584733749929441
186383	null	CHODL-AS1:RXRA	CHODL-AS1	RXRA	0.8864392478493415	-0.14345188951786034
1523702	null	MGC16025:MCM2	MGC16025	MCM2	0.10070847358333372	-1.6684636653934797
529796	null	CTNND2:BCL10	CTNND2	BCL10	0.6789611729022789	-0.4194412161604171
595504	null	NETO1:C16orf11	NETO1	C16orf11	0.6397694088939503	-0.4705336417527292
315097	null	SLC25A24:MZT1	SLC25A24	MZT1	0.8075743785412361	-0.2446910733238626
1588197	null	PNPLA2:TOM1L1	PNPLA2	TOM1L1	0.06351651532956477	1.8924267795116032
370050	null	C4orf34:MID1IP1	C4orf34	MID1IP1	0.7746358846900947	0.2876789391204557
276634	null	PCDH7:IL1A	PCDH7	IL1A	0.8313702331189092	-0.2141851997587073
1151224	null	DENND2C:SIRPA	DENND2C	SIRPA	0.3142293744743884	-1.0153505357451542
344815	null	CMIP:POPDC2	CMIP	POPDC2	0.7902476231610731	-0.2672417255052046
318788	null	AMIGO1:BCL7B	AMIGO1	BCL7B	0.8054545415926587	-0.24765910284875736
1347153	null	NDUFA10:COL6A5	NDUFA10	COL6A5	0.20303493823155053	-1.2880229462122164
95573	null	ADNP2:DAGLA	ADNP2	DAGLA	0.9407126210970388	-0.07470294838916318
528812	null	TAS2R43:SPIB	TAS2R43	SPIB	0.679693309034227	-0.4150089681316016
862969	null	DUSP26:RAD18	DUSP26	RAD18	0.4853626862255932	-0.7044101808279722
1478384	null	ACSL1:ETV3	ACSL1	ETV3	0.12696270176688987	-1.5500845280759914
401067	null	SNORA37:BHMT	SNORA37	BHMT	0.7559609093534458	0.3126482962493477
1202982	null	SNAR-A2:L3MBTL2	SNAR-A2	L3MBTL2	0.2856010557864893	1.0779406206207722
1634963	null	LOC100505817:CD1D	LOC100505817	CD1D	0.03807923369451106	2.1449959438373725
835320	null	TCP10:UBE2D1	TCP10	UBE2D1	0.5007868641658628	-0.6777256514600312
383192	null	TBC1D19:TFG	TBC1D19	TFG	0.7670333101853731	0.2976752539912909
384398	null	MIR221:ALDH9A1	MIR221	ALDH9A1	0.7664466001982629	-0.298447939583232
603748	null	REPS2:MT1F	REPS2	MT1F	0.634666360807569	-0.4777342485385636
880676	null	CACNA2D3:ZNF107	CACNA2D3	ZNF107	0.4743165957340561	0.7208117426902904
788196	null	SORL1:C15orf5	SORL1	C15orf5	0.528462738285201	0.6342381226759921
336569	null	CCDC110:U2AF1L4	CCDC110	U2AF1L4	0.7953560910139434	-0.26176087714636953
398400	null	ONECUT2:UBXN7	ONECUT2	UBXN7	0.7578255454616041	-0.3098228705014911
1480662	null	LOC643441:L3MBTL2	LOC643441	L3MBTL2	0.12548198044418551	-1.5549976449288192
612889	null	KLHL21:BAHD1	KLHL21	BAHD1	0.6294967298770353	0.485054496196005
996447	null	PTPN22:TMPRSS15	PTPN22	TMPRSS15	0.4052094831264571	-0.8385774003604705
773264	null	CXorf22:HES7	CXorf22	HES7	0.5374715588505881	-0.6252523315098777
1053777	null	GRAPL:SFTA3	GRAPL	SFTA3	0.3714552883622612	0.9008564052018552
811137	null	SYT4:PIM3	SYT4	PIM3	0.5149844825232448	0.6553341091083641
1508205	null	MIR4318:MCTS1	MIR4318	MCTS1	0.10984295612875312	-1.6242371565318432
174856	null	RHOC:S100B	RHOC	S100B	0.8926734322008025	-0.1359361483576738
931650	null	GPR63:PRKAG2	GPR63	PRKAG2	0.4443247650764103	-0.7736626150921457
922788	null	MIR4769:LMAN1	MIR4769	LMAN1	0.4495659054205076	-0.761678293718386
1042501	null	TXLNG:PSORS1C3	TXLNG	PSORS1C3	0.3780663622406684	-0.889873236997741
1379810	null	C18orf62:CXorf23	C18orf62	CXorf23	0.18387321963219105	-1.3452469511758869
528819	null	PDE8B:MFHAS1	PDE8B	MFHAS1	0.6796771977032772	-0.415031104003902
154141	null	VDAC3:SLC13A3	VDAC3	SLC13A3	0.9055729269234682	-0.11915321425094184
479103	null	QRFPR:C5orf63	QRFPR	C5orf63	0.7091071709185566	-0.37542650456055227
1215499	null	MIR4689:SNORA64	MIR4689	SNORA64	0.2777655575110683	1.0958211582179025
929190	null	PJA2:GCH1	PJA2	GCH1	0.4459340966134341	0.7675303816671278
610651	null	NARS:RASSF2	NARS	RASSF2	0.6305944076538055	-0.4834979830245325
97885	null	RAD51B:LOC100505938	RAD51B	LOC100505938	0.9390950630154804	0.07688912460311947
1538127	null	ZNF24:TAF1A	ZNF24	TAF1A	0.09163870944384517	-1.7157527378283497
547352	null	TLR8-AS1:UBE2W	TLR8-AS1	UBE2W	0.6684945718165408	0.4305273014464256
1007584	null	LINC00617:RPS4Y1	LINC00617	RPS4Y1	0.3984026297489913	-0.8509836817573909
960367	null	MAK16:AEBP1	MAK16	AEBP1	0.4262444063944645	-0.8034398049648837
726035	null	MGC21881:RNF180	MGC21881	RNF180	0.5636653080009368	0.5807990769119088
964894	null	RNU6-67:FLT4	RNU6-67	FLT4	0.4239161203891585	-0.8081330984015286
1408002	null	PDE10A:TFG	PDE10A	TFG	0.16817740131390366	-1.3958360163142032
365484	null	ARSD:LOC100506190	ARSD	LOC100506190	0.7774809915736312	0.2839455762344177
986462	null	CHRNA6:AKR1C1	CHRNA6	AKR1C1	0.4111257349166729	-0.8279968051590791
